SampleID,Env
SRR5602185,root:Elder
SRR5602233,root:Elder
SRR5602267,root:Elder
SRR5602171,root:Elder
SRR5601996,root:Elder
SRR5602266,root:Elder
SRR3680058,root:Elder
SRR3680074,root:Elder
SRR3679974,root:Elder
C048,root:Elder
SRR3679985,root:Elder
SRR5602175,root:Elder
SRR5602130,root:Elder
SRR3680024,root:Elder
SRR5602286,root:Elder
SRR5602306,root:Elder
SRR5601990,root:Elder
SRR5602030,root:Elder
SRR5602186,root:Elder
SRR5610014,root:Elder
K306,root:Elder
SRR5602137,root:Elder
SRR5601995,root:Elder
SRR5601994,root:Elder
SRR5601933,root:Elder
SRR5602158,root:Elder
SRR3679970,root:Elder
SRR5602195,root:Elder
SRR5602123,root:Elder
SRR5601959,root:Elder
SRR3680017,root:Elder
SRR5602167,root:Elder
SRR5602294,root:Elder
SRR5602173,root:Elder
SRR3679987,root:Elder
SRR5602136,root:Elder
SRR5602015,root:Elder
SRR5602271,root:Elder
SRR5602205,root:Elder
SRR3679989,root:Elder
SRR5602169,root:Elder
SRR5602224,root:Elder
C007,root:Elder
SRR5602174,root:Elder
SRR5602275,root:Elder
SRR5601934,root:Elder
SRR5602183,root:Elder
SRR3679973,root:Elder
SRR5602247,root:Elder
SRR5602063,root:Elder
SRR5602317,root:Elder
SRR5602265,root:Elder
SRR5602337,root:Elder
SRR5602098,root:Elder
SRR3680046,root:Elder
SRR5602226,root:Elder
SRR5610012,root:Elder
SRR5602012,root:Elder
SRR5601924,root:Elder
SRR5602122,root:Elder
SRR5602196,root:Elder
SRR3680085,root:Elder
SRR5602261,root:Elder
SRR5802183,root:Elder
SRR5602029,root:Elder
SRR3679967,root:Elder
SRR3679965,root:Elder
SRR3680078,root:Elder
SRR5602076,root:Elder
SRR5602215,root:Elder
SRR3680044,root:Elder
SRR5602131,root:Elder
SRR5602312,root:Elder
SRR3680055,root:Elder
SRR5602100,root:Elder
SRR3679971,root:Elder
SRR5602250,root:Elder
SRR5602202,root:Elder
SRR5602021,root:Elder
SRR5602293,root:Elder
SRR5602058,root:Elder
K301,root:Elder
SRR5602097,root:Elder
K125,root:Elder
SRR5602347,root:Elder
SRR5601984,root:Elder
SRR5602232,root:Elder
SRR5602143,root:Elder
SRR3679988,root:Elder
SRR5602311,root:Elder
K316,root:Elder
SRR5602257,root:Elder
SRR3680079,root:Elder
SRR5602264,root:Elder
SRR5601986,root:Elder
SRR3679996,root:Elder
SRR3680059,root:Elder
SRR3680068,root:Elder
SRR5602032,root:Elder
SRR5602339,root:Elder
SRR5602035,root:Elder
SRR5602147,root:Elder
SRR3679994,root:Elder
SRR5602176,root:Elder
SRR5602201,root:Elder
SRR5602304,root:Elder
SRR5601925,root:Elder
K108,root:Elder
SRR3679992,root:Elder
SRR3680080,root:Elder
SRR5602057,root:Elder
SRR3680083,root:Elder
SRR5602207,root:Elder
SRR5602281,root:Elder
SRR5602031,root:Elder
SRR3679969,root:Elder
C003,root:Elder
SRR5602332,root:Elder
K124,root:Elder
SRR5609969,root:Elder
SRR5602099,root:Elder
SRR5602321,root:Elder
SRR3680072,root:Elder
SRR5601927,root:Elder
SRR3679929,root:Elder
SRR5602278,root:Elder
SRR5601988,root:Elder
SRR5602314,root:Elder
SRR5602273,root:Elder
SRR5602011,root:Elder
SRR5602197,root:Elder
SRR3679962,root:Elder
SRR3680053,root:Elder
SRR3680011,root:Elder
SRR5602018,root:Elder
SRR3680070,root:Elder
SRR3680064,root:Elder
SRR5602080,root:Elder
SRR5602279,root:Elder
K100,root:Elder
SRR3679983,root:Elder
SRR5602338,root:Elder
SRR5602316,root:Elder
SRR3679968,root:Elder
SRR5602184,root:Elder
SRR3679945,root:Elder
SRR5602014,root:Elder
C002,root:Elder
SRR5602223,root:Elder
SRR5602212,root:Elder
SRR3680034,root:Elder
SRR5602114,root:Elder
SRR5602318,root:Elder
SRR3680007,root:Elder
SRR5602116,root:Elder
SRR5602341,root:Elder
C011,root:Elder
SRR5602020,root:Elder
SRR5602117,root:Elder
SRR5602331,root:Elder
C018,root:Elder
SRR5602121,root:Elder
SRR5602095,root:Elder
SRR5602230,root:Elder
SRR5602203,root:Elder
SRR5602218,root:Elder
SRR3679931,root:Elder
SRR3679998,root:Elder
SRR3679990,root:Elder
SRR5602213,root:Elder
SRR5602225,root:Elder
SRR5602093,root:Elder
SRR5602187,root:Elder
SRR5602054,root:Elder
SRR5602253,root:Elder
SRR3679977,root:Elder
SRR5602342,root:Elder
SRR5602313,root:Elder
SRR5610010,root:Elder
SRR5602118,root:Elder
SRR5602258,root:Elder
SRR5602062,root:Elder
SRR5602141,root:Elder
SRR3680065,root:Elder
K106,root:Elder
SRR5602270,root:Elder
SRR5610112,root:Young
SRR5802301,root:Young
SRR5610028,root:Young
USygt37.B1.418521,root:Young
SRR5802190,root:Young
SRR5610084,root:Young
SRR5610075,root:Young
SRR5802220,root:Young
SRR5580539,root:Young
SRR5802261,root:Young
SRR5609996,root:Young
SRR5802228,root:Young
SRR5610069,root:Young
SRR5802340,root:Young
USinfTw19.2.418595,root:Young
USygt17.T2.418720,root:Young
SRR5610068,root:Young
SRR5609971,root:Young
SRR5610121,root:Young
SRR5580536,root:Young
SRR5802395,root:Young
SRR5802191,root:Young
SRR5580645,root:Young
SRR5610159,root:Young
SRR5802219,root:Young
USygt33.T2.418787,root:Young
SRR5609997,root:Young
USBldInf3.418459,root:Young
SRR5802284,root:Young
SRR5610122,root:Young
SRR5610074,root:Young
SRR5802231,root:Young
USchp1Mom.418814,root:Young
SRR5609985,root:Young
SRR5610037,root:Young
SRR5802279,root:Young
SRR5802379,root:Young
SRR5802358,root:Young
SRR5802403,root:Young
SRR5610111,root:Young
USygt7.T2.418392,root:Young
USinfTw10.1.418518,root:Young
USygt49.B1.418842,root:Young
USygt12.T2.418790,root:Young
SRR5601943,root:Young
SRR5602086,root:Young
SRR5580463,root:Young
SRR5610063,root:Young
Y3,root:Young
USygt43.T1.418816,root:Young
SRR5602108,root:Young
SRR5802218,root:Young
SRR5580429,root:Young
SRR5802311,root:Young
USygt42.T1.418811,root:Young
SRR5802280,root:Young
SRR5610091,root:Young
SRR5610139,root:Young
SRR5602236,root:Young
USygt32.S1.418608,root:Young
SRR5610005,root:Young
SRR5601948,root:Young
SRR5580502,root:Young
SRR5802357,root:Young
SRR5802381,root:Young
SRR5802389,root:Young
SRR5802361,root:Young
USygt19.T2.418432,root:Young
SRR5609967,root:Young
SRR5610040,root:Young
USchp33ChildA.418742,root:Young
SRR5802377,root:Young
SRR5802248,root:Young
USinfTw6.2.418594,root:Young
USinfTw5.1.418422,root:Young
SRR5610088,root:Young
SRR5610065,root:Young
SRR5802200,root:Young
SRR5580500,root:Young
SRR5610163,root:Young
SRR5602237,root:Young
SRR5802376,root:Young
SRR5802262,root:Young
USygt29.T1.418673,root:Young
SRR5610125,root:Young
USinfTw20.1.418640,root:Young
SRR5802331,root:Young
USygt16.T2.418435,root:Young
USygt54.T2.418497,root:Young
USchp41Infant.418542,root:Young
SRR5610127,root:Young
SRR5609953,root:Young
SRR5802258,root:Young
USygt23.T1.418854,root:Young
SRR5602105,root:Young
SRR5802189,root:Young
SRR5802366,root:Young
USygt38.T2.418456,root:Young
SRR5610089,root:Young
SRR5802320,root:Young
Y13,root:Young
SRR5580543,root:Young
USygt44.B1.418371,root:Young
SRR5610118,root:Young
SRR5601916,root:Young
USygt24.T1.418841,root:Young
SRR5802400,root:Young
SRR5602084,root:Young
SRR5602078,root:Young
SRR5802369,root:Young
SRR5802232,root:Young
SRR5601952,root:Young
USinfTw8.1.418366,root:Young
SRR5802209,root:Young
USBldChld8.418589,root:Young
SRR5610029,root:Young
USinfTw9.1.418845,root:Young
Y8,root:Young
SRR5602244,root:Young
SRR5610073,root:Young
SRR5802242,root:Young
SRR5601954,root:Young
SRR5610143,root:Young
SRR5610064,root:Young
SRR5802233,root:Young
SRR5602081,root:Young
SRR5602090,root:Young
SRR5580471,root:Young
SRR5580462,root:Young
SRR5609995,root:Young
SRR5610080,root:Young
Y11,root:Young
SRR5802312,root:Young
SRR5610044,root:Young
USygt3.T1.418429,root:Young
SRR5610095,root:Young
SRR5580541,root:Young
SRR5610149,root:Young
SRR5580466,root:Young
SRR5610004,root:Young
SRR5802392,root:Young
USygt13.T2.418745,root:Young
SRR5610101,root:Young
SRR5802193,root:Young
USinfTw5.2.418695,root:Young
SRR5802240,root:Young
SRR5609994,root:Young
SRR5802235,root:Young
SRR5602074,root:Young
SRR5802272,root:Young
USinfTw8.2.418804,root:Young
SRR5580544,root:Young
SRR5802348,root:Young
SRR5610031,root:Young
SRR5610039,root:Young
SRR5580583,root:Young
USygt10.T2.418815,root:Young
SRR5602112,root:Young
USygt10.T1.418683,root:Young
SRR5802394,root:Young
USygt25.T1.418406,root:Young
SRR5609975,root:Young
SRR5610001,root:Young
SRR5602087,root:Young
SRR5802388,root:Young
USinfTw21.2.418540,root:Young
SRR5610007,root:Young
SRR5802265,root:Young
SRR5802399,root:Young
SRR5610006,root:Young
SRR5580467,root:Young
USygt36.T2.418655,root:Young
USygt16.B1.418368,root:Young
SRR5802350,root:Young
SRR5802264,root:Young
USygt27.T1.418441,root:Young
SRR5802236,root:Young
SRR5802197,root:Young
SRR5610045,root:Young
SRR5610142,root:Young
USchp60Child.418703,root:Young
SRR5802205,root:Young
SRR5580652,root:Young
SRR5802243,root:Young
SRR5609954,root:Young
SRR5802359,root:Young
SRR5610072,root:Young
SRR5610042,root:Young
SRR5609999,root:Young
USBld1.418516,root:Young
SRR5802310,root:Young
USinfTw4.1.418637,root:Young
USinfTw10.2.418840,root:Young
USygt25.B2.418685,root:Young
SRR5601913,root:Young
SRR5802213,root:Young
SRR5802291,root:Young
SRR5610169,root:Young
SRR5802323,root:Young
SRR5610036,root:Young
SRR5802263,root:Young
SRR5802351,root:Young
SRR5802339,root:Young
SRR5802237,root:Young
USygt21.B1.418713,root:Young
USygt31.T1.418408,root:Young
SRR5610083,root:Young
SRR5602206,root:Young
SRR5601963,root:Young
SRR5802212,root:Young
SRR5802208,root:Young
SRR5802241,root:Young
USygt28.T1.418827,root:Young
USygt39.T2.418351,root:Young
USygt12.T1.418615,root:Young
Y9,root:Young
SRR5802217,root:Young
SRR5610035,root:Young
SRR5802293,root:Young
USygt47.T2.418762,root:Young
SRR5802298,root:Young
SRR5802296,root:Young
USygt25.T2.418341,root:Young
SRR5802281,root:Young
SRR5610092,root:Young
SRR5802387,root:Young
SRR5802326,root:Young
USygt15.T2.418859,root:Young
SRR5610067,root:Young
SRR5610116,root:Young
SRR5610146,root:Young
USygt7.T1.418622,root:Young
SRR5602068,root:Young
SRR5802214,root:Young
SRR5580432,root:Young
SRR5580537,root:Young
SRR5610033,root:Young
SRR5802223,root:Young
SRR5601970,root:Young
SRR5802374,root:Young
USinfTw1.1.418752,root:Young
USygt6.T2.418728,root:Young
SRR5802282,root:Young
SRR5610082,root:Young
USygt36.T1.418651,root:Young
USchp60Mom.418566,root:Young
SRR5802250,root:Young
SRR5610119,root:Young
SRR5580470,root:Young
SRR5802266,root:Young
SRR5610066,root:Young
SRR5802187,root:Young
SRR5802386,root:Young
SRR5580435,root:Young
USchp3Mom.418727,root:Young
SRR5802334,root:Young
SRR5610052,root:Young
USchp11Child.418850,root:Young
SRR5610124,root:Young
SRR5580434,root:Young
USBldChld2.418414,root:Young
SRR5610102,root:Young
SRR5802402,root:Young
USinfTw4.2.418348,root:Young
SRR5802273,root:Young
