,Env
SRR5802339,Young
SRR5802273,Young
SRR5609971,Young
SRR5802282,Young
C010,Centenarian
SRR5802241,Young
SRR5602072,Young
USygt10.T1.418683,Young
USygt20.T1.418564,Young
USinfTw17.1.418390,Young
SRR5802340,Young
USygt37.B1.418521,Young
SRR5802321,Young
SRR5602243,Young
SRR5802248,Young
SRR5802287,Young
SRR5580538,Young
SRR5802228,Young
SRR5802280,Young
SRR5802383,Young
SRR5802312,Young
SRR5610111,Young
USygt3.T1.418429,Young
SRR5601949,Young
SRR5802192,Young
Y2,Elder
SRR5802302,Young
SRR5601944,Young
USygt16.T2.418435,Young
SRR5610088,Young
SRR5802351,Young
SRR5610133,Young
SRR5802310,Young
USinfTw8.1.418366,Young
SRR5802342,Young
K304,Elder
USygt28.T1.418827,Young
SRR5610118,Young
SRR5602111,Young
USchp35Child.418784,Young
SRR5610156,Young
SRR5802279,Young
SRR5610119,Young
SRR5580542,Young
USygt33.T1.418574,Young
SRR5610091,Young
USinfTw6.1.418613,Young
SRR5802392,Young
SRR5802264,Young
SRR5610095,Young
USygt13.T1.418495,Young
USBldChld8.418589,Young
SRR5580471,Young
SRR5610162,Young
SRR5610074,Young
SRR5602260,Centenarian
Y14,Elder
USygt12.T1.418615,Young
S050,Centenarian
USinfTw20.1.418640,Young
SRR5601910,Young
C052,Centenarian
USinfTw3.2.418812,Young
Y4,Elder
C002,Elder
SRR5602016,Centenarian
SRR5610143,Young
USinfTw18.1.418513,Young
USygt54.T2.418497,Young
SRR5580500,Young
K119,Elder
Y13,Elder
SRR5802400,Young
SRR5580435,Young
SRR5802225,Young
SRR5802293,Young
SRR5610123,Young
SRR5802373,Young
USygt27.T2.418523,Young
USygt15.T1.418779,Young
USygt39.T2.418351,Young
SRR5610005,Young
SRR5610090,Young
Y9,Young
SRR5802305,Young
SRR5610036,Young
SRR5602075,Young
SRR5602010,Centenarian
Y12,Young
USygt10.T2.418815,Young
SRR5802208,Young
SRR5802190,Young
SRR5602324,Centenarian
USygt25.T2.418341,Young
USinfTw10.2.418840,Young
SRR5610126,Young
USygt6.T2.418728,Young
SRR5610045,Young
USygt54.AS.418858,Young
SRR5802391,Young
SRR5580501,Young
SRR5601913,Young
SRR5601950,Young
SRR5802369,Young
USygt41.B1.418570,Young
SRR5609953,Young
SRR5802286,Young
S290,Centenarian
USygt27.T1.418441,Young
SRR5610116,Young
USinfTw19.1.418798,Young
SRR5580431,Young
SRR5610042,Young
SRR5580544,Young
SRR5802260,Young
USinfTw10.1.418518,Young
SRR5602239,Young
SRR5802276,Young
SRR5602238,Young
SRR5802387,Young
USygt42.T2.418716,Young
USygt53.T2.418455,Young
USchp1Child.418697,Young
SRR5580470,Young
SRR5802220,Young
USygt17.T2.418720,Young
SRR5602084,Young
SRR5580465,Young
SRR5802374,Young
SRR5802371,Young
SRR3679980,Centenarian
USygt30.T2.418609,Young
USygt36.T1.418651,Young
USygt30.T1.418821,Young
SRR5580461,Young
SRR5802375,Young
SRR5802193,Young
SRR5802203,Young
SRR5802207,Young
SRR5802320,Young
K106,Elder
SRR5802388,Young
SRR5802218,Young
SRR5802370,Young
USygt1.T1.418417,Young
SRR5602256,Centenarian
SRR5580616,Young
SRR5610139,Young
SRR5802275,Young
SRR5610062,Young
SRR5802334,Young
USinfTw4.1.418637,Young
S120,Centenarian
SRR5802267,Young
K124,Elder
SRR5602160,Centenarian
USBldChld5.418733,Young
SRR5610087,Young
SRR5580646,Young
SRR5601918,Young
C011,Elder
SRR5609997,Young
USygt21.B1.418713,Young
SRR5802272,Young
SRR5802239,Young
SRR5802224,Young
K105,Elder
USygt11.T2.418503,Young
SRR5802285,Young
USygt17.T1.418600,Young
SRR5610077,Young
SRR5601946,Young
SRR5610159,Young
SRR5601970,Young
USinfTw2.2.418678,Young
SRR5802211,Young
SRR5609990,Young
SRR5802271,Young
SRR5609956,Young
SRR5602108,Young
SRR5609958,Young
SRR5610040,Young
SRR5802235,Young
USygt24.T2.418363,Young
SRR5610094,Young
SRR5610125,Young
S130,Centenarian
SRR5602082,Young
SRR5802188,Young
USygt19.B1.418817,Young
SRR5602206,Young
SRR5802185,Young
SRR5802301,Young
SRR5802311,Young
SRR5609973,Young
USygt25.S1.418338,Young
SRR5610084,Young
SRR5602119,Centenarian
USinfTw4.2.418348,Young
SRR5601969,Young
SRR5601943,Young
USinfTw6.2.418594,Young
K309,Elder
SRR5602155,Centenarian
SRR5802390,Young
SRR5602335,Centenarian
SRR5610047,Young
USinfTw3.1.418387,Young
SRR5802303,Young
USinfTw5.1.418422,Young
SRR5610122,Young
USinfTw19.2.418595,Young
SRR5580427,Young
SRR5602138,Centenarian
SRR5802259,Young
USchp33ChildB.418578,Young
SRR5580583,Young
SRR5580651,Young
SRR5610114,Young
SRR5580645,Young
USygt24.T1.418841,Young
SRR5610075,Young
SRR5802348,Young
USygt38.T1.418654,Young
SRR5601945,Young
SRR5610138,Young
USygt1.T2.418785,Young
SRR5601962,Young
USchp1Mom.418814,Young
SRR5802255,Young
USygt53.T1.418664,Young
USygt23.T1.418854,Young
USygt29.T1.418673,Young
SRR5802196,Young
SRR5602073,Young
USygt15.T2.418859,Young
USinfTw1.1.418752,Young
SRR3679961,Centenarian
SRR5580468,Young
SRR5602234,Centenarian
SRR5602109,Young
SRR5802250,Young
S320,Centenarian
USBldChld7.418488,Young
SRR5610049,Young
SRR5610028,Young
K100,Elder
SRR5802204,Young
SRR5802323,Young
SRR5802346,Young
SRR5802399,Young
SRR5610115,Young
USygt25.B2.418685,Young
SRR5602179,Centenarian
USygt32.S1.418608,Young
SRR5802309,Young
SRR5802304,Young
K125,Elder
SRR5580536,Young
SRR5802377,Young
SRR5802299,Young
SRR5601947,Young
SRR5580467,Young
USygt49.T1.418399,Young
USchp60Child.418703,Young
SRR5602237,Young
SRR5802349,Young
USinfTw21.2.418540,Young
Y10,Young
SRR5802395,Young
SRR5802366,Young
K301,Elder
SRR5802381,Young
SRR5802298,Young
USygt26.T2.418693,Young
USygt33.T2.418787,Young
SRR5601917,Young
USygt14.T2.418813,Young
SRR5802213,Young
SRR5802214,Young
SRR5601915,Young
SRR5610004,Young
SRR5601963,Young
USygt23.T2.418458,Young
USygt25.B1.418792,Young
SRR5610128,Young
SRR5602092,Centenarian
SRR5580543,Young
SRR5602068,Young
SRR5610147,Young
SRR5610039,Young
SRR5610000,Young
SRR5802322,Young
USinfTw1.2.418491,Young
USinfTw8.2.418804,Young
SRR5610007,Young
SRR5610096,Young
SRR5580648,Young
SRR5610080,Young
Y15,Elder
SRR5802402,Young
SRR5602351,Centenarian
SRR5610101,Young
SRR5602088,Young
SRR5610006,Young
SRR5610112,Young
USygt43.T2.418799,Young
SRR5609954,Young
SRR5610030,Young
USygt7.T2.418392,Young
