,Env
USygt11.M.418479,Middle age
USygt12.M.418543,Middle age
USinfTw7.2.418463,Young
USygt12.T1.418615,Young
USygt10.M.418687,Middle age
USygt1.T1.418417,Young
USygt11.F.418661,Middle age
USygt13.M.418644,Middle age
USygt14.T2.418813,Young
USygt15.M.418634,Middle age
USinfTw8.1.418366,Young
USygt13.F.418411,Middle age
USygt15.F.418688,Middle age
USygt15.T2.418859,Young
USygt14.M.418857,Middle age
USinfTw9.1.418845,Young
USygt1.T2.418785,Young
USygt10.T1.418683,Young
USygt10.T2.418815,Young
USygt11.T1.418632,Young
USygt11.T2.418503,Young
USygt12.F.418502,Middle age
USygt12.T2.418790,Young
USygt13.T1.418495,Young
USygt13.T2.418745,Young
USygt14.T1.418853,Young
USygt16.F.418383,Middle age
USygt16.M.418462,Middle age
USygt16.T1.418527,Young
USinfTw19.1.418798,Young
USygt15.T1.418779,Young
USinfTw3.1.418387,Young
USinfTw8.2.418804,Young
USinfTw21.1.418467,Young
USinfTw21.2.418540,Young
USinfTw5.1.418422,Young
USinfTw3.2.418812,Young
USinfTw9.2.418769,Young
USinfTw2.2.418678,Young
USinfTw20.2.418696,Young
USinfTw7.1.418386,Young
USinfTw2.1.418478,Young
USinfTw20.1.418640,Young
USinfTw5.2.418695,Young
USinfTw6.2.418594,Young
USinfTw6.1.418613,Young
USygt16.T2.418435,Young
USygt23.M.418612,Middle age
USygt23.T1.418854,Young
USygt23.T2.418458,Young
USygt30.M.418398,Middle age
USygt20.F.418339,Middle age
USygt20.M.418572,Middle age
USygt20.T1.418564,Young
USygt21.M.418797,Middle age
USygt24.T2.418363,Young
USygt25.T1.418406,Young
USygt27.T1.418441,Young
USygt28.T1.418827,Young
USygt29.T2.418768,Young
USygt29.T1.418673,Young
USygt30.T1.418821,Young
USygt17.T1.418600,Young
USygt19.T1.418385,Young
USygt21.F.418579,Middle age
USygt25.F.418747,Middle age
USygt28.M.418808,Middle age
USygt32.M.418562,Middle age
USygt17.T2.418720,Young
USygt19.M.418397,Middle age
USygt19.B1.418817,Young
USygt19.T2.418432,Young
USygt2.M.418457,Young
USygt20.T2.418500,Young
USygt24.M.418730,Middle age
USygt24.T1.418841,Young
USygt25.B1.418792,Young
USygt25.B2.418685,Young
USygt25.S1.418338,Young
USygt25.M.418835,Middle age
USygt25.T2.418341,Young
USygt26.T1.418758,Young
USygt27.F.418639,Middle age
USygt27.M.418861,Middle age
USygt3.T1.418429,Young
USygt30.T2.418609,Young
USygt31.T1.418408,Young
USygt31.T2.418361,Young
USygt32.S1.418608,Young
USygt3.T2.418807,Young
USygt31.M.418440,Middle age
USygt27.T2.418523,Young
USygt17.M.418444,Middle age
USygt21.B1.418713,Young
USygt26.T2.418693,Young
USygt3.M.418496,Middle age
USygt47.M.418401,Middle age
USygt33.M.418638,Middle age
USygt33.T2.418787,Young
USygt35.M.418364,Middle age
USygt34.M.418823,Middle age
USygt36.M.418734,Middle age
USygt36.T2.418655,Young
USygt37.B1.418521,Young
USygt36.T1.418651,Young
USygt38.T1.418654,Young
USygt38.T2.418456,Young
USygt39.T2.418351,Young
USygt39.F.418756,Middle age
USygt4.M.418367,Middle age
USygt40.F.418369,Middle age
USygt41.F.418802,Middle age
USygt40.M.418504,Middle age
USygt42.M.418663,Middle age
USygt41.M.418492,Middle age
USygt42.T1.418811,Young
USygt42.T2.418716,Young
USygt43.F.418760,Middle age
USygt43.M.418520,Middle age
USygt43.T1.418816,Young
USygt44.F.418709,Middle age
USygt44.B1.418371,Young
USygt44.M.418360,Middle age
USygt47.T1.418692,Young
USygt47.T2.418762,Young
USygt48.M.418794,Middle age
USygt49.B1.418842,Young
USygt48.F.418551,Middle age
USygt49.F.418818,Middle age
USygt49.M.418347,Middle age
USygt49.T1.418399,Young
USygt49.T2.418670,Young
USygt52.F.418555,Middle age
USygt52.M.418736,Middle age
USygt53.F.418830,Middle age
USygt53.M.418452,Middle age
USygt53.T1.418664,Young
USygt34.F.418402,Middle age
USygt38.M.418740,Middle age
USygt5.F.418630,Middle age
USygt42.F.418628,Middle age
USygt41.B1.418570,Young
USygt43.T2.418799,Young
USygt5.M.418357,Middle age
USygt33.T1.418574,Young
USygt38.F.418465,Middle age
USygt53.T2.418455,Young
USygt54.M.418445,Middle age
USygt54.T1.418381,Young
USygt54.T2.418497,Young
USygt7.T1.418622,Young
USygt9.B1.418824,Young
USygt9.F.418438,Middle age
USygt54.F.418487,Middle age
USygt6.AS.418353,Young
USygt6.M.418593,Middle age
USygt6.T2.418728,Young
USygt7.M.418598,Middle age
USygt7.T2.418392,Young
USygt8.F.418739,Middle age
USygt8.M.418616,Middle age
USygt8.T1.418829,Young
USygt8.T2.418755,Young
USygt9.M.418560,Middle age
USygt54.AS.418858,Young
SRR5580645,Young
SRR5580647,Young
SRR5602007,Middle age
SRR5802391,Young
SRR5802359,Young
SRR5610163,Young
SRR5580427,Young
SRR5580652,Young
SRR5602006,Middle age
SRR5602242,Young
SRR5609971,Young
SRR5609960,Middle age
SRR5609994,Young
SRR5610029,Young
SRR5610055,Middle age
SRR5610094,Young
SRR5610101,Young
SRR5610095,Young
SRR5610124,Young
SRR5802203,Young
SRR5802207,Young
SRR5802240,Young
SRR5802269,Young
SRR5802282,Young
SRR5802299,Young
SRR5802305,Young
SRR5802311,Young
SRR5802303,Young
SRR5802326,Young
SRR5802370,Young
SRR5802286,Young
SRR5802306,Young
SRR5609957,Young
SRR5802190,Young
SRR5601918,Young
SRR5610033,Young
SRR5610031,Young
SRR5802192,Young
SRR5802239,Young
SRR5802248,Young
SRR5580462,Young
SRR5602000,Middle age
SRR5609988,Young
SRR5610084,Young
SRR5802187,Young
SRR5802258,Young
SRR5802314,Middle age
SRR5802375,Young
SRR5802401,Young
SRR5580542,Young
SRR5610034,Young
SRR5802215,Young
SRR5802392,Young
SRR5580428,Young
SRR5580461,Young
SRR5601955,Middle age
SRR5602069,Young
SRR5610128,Young
SRR5802395,Young
SRR5580436,Young
SRR5580498,Young
SRR5580503,Young
SRR5580538,Young
SRR5580525,Young
SRR5580541,Young
SRR5601916,Young
SRR5601957,Middle age
SRR5601998,Middle age
SRR5602046,Middle age
SRR5602050,Middle age
SRR5602051,Middle age
SRR5602052,Middle age
SRR5602048,Middle age
SRR5602044,Middle age
SRR5602049,Middle age
SRR5602042,Middle age
SRR5602091,Middle age
SRR5602112,Young
SRR5609953,Young
SRR5609954,Young
SRR5609956,Young
SRR5609958,Young
SRR5609946,Middle age
SRR5609961,Middle age
SRR5609967,Young
SRR5609949,Middle age
SRR5609963,Middle age
SRR5609952,Middle age
SRR5609966,Middle age
SRR5609976,Young
SRR5609977,Middle age
SRR5609991,Young
SRR5609979,Middle age
SRR5609980,Middle age
SRR5609990,Young
SRR5609973,Young
SRR5609983,Middle age
SRR5609989,Young
SRR5609992,Young
SRR5609975,Young
SRR5609997,Young
SRR5610006,Young
SRR5610007,Young
SRR5609995,Young
SRR5610005,Young
SRR5610020,Middle age
SRR5610001,Young
SRR5609999,Young
SRR5609993,Young
SRR5610018,Middle age
SRR5610019,Middle age
SRR5610004,Young
SRR5609996,Young
SRR5610036,Young
SRR5610037,Young
SRR5610038,Young
SRR5610040,Young
SRR5610039,Young
SRR5610042,Young
SRR5610032,Young
SRR5610030,Young
SRR5610049,Young
SRR5610052,Young
SRR5610063,Young
SRR5610064,Young
SRR5610067,Young
SRR5610047,Young
SRR5610065,Young
SRR5610061,Middle age
SRR5610044,Young
SRR5610066,Young
SRR5610069,Young
SRR5610070,Young
SRR5610076,Young
SRR5610079,Young
SRR5610073,Young
SRR5610077,Young
SRR5610072,Young
SRR5610074,Young
SRR5610080,Young
SRR5610086,Young
SRR5610075,Young
SRR5610089,Young
SRR5610090,Young
SRR5610091,Young
SRR5610102,Young
SRR5610099,Middle age
SRR5610100,Middle age
SRR5610096,Young
SRR5610092,Young
SRR5610111,Young
SRR5610117,Young
SRR5610120,Young
SRR5610121,Young
SRR5610115,Young
SRR5610123,Young
SRR5610118,Young
SRR5610122,Young
SRR5610109,Middle age
SRR5610126,Young
SRR5610129,Young
SRR5610139,Young
SRR5610142,Young
SRR5610138,Young
SRR5610125,Young
SRR5610131,Young
SRR5610132,Young
SRR5610133,Young
SRR5610143,Young
SRR5610153,Middle age
SRR5610158,Young
SRR5610166,Middle age
SRR5610144,Middle age
SRR5610159,Young
SRR5610149,Young
SRR5610161,Middle age
SRR5610146,Young
SRR5610162,Young
SRR5610157,Young
SRR5610156,Young
SRR5610172,Middle age
SRR5610173,Middle age
SRR5802193,Young
SRR5802188,Young
SRR5610171,Middle age
SRR5610169,Young
SRR5802204,Young
SRR5802205,Young
SRR5802210,Young
SRR5802197,Young
SRR5802200,Young
SRR5802206,Young
SRR5802196,Young
SRR5802209,Young
SRR5802211,Young
SRR5802218,Young
SRR5802225,Young
SRR5802216,Young
SRR5802220,Young
SRR5802223,Young
SRR5802212,Young
SRR5802213,Young
SRR5802221,Young
SRR5802214,Young
SRR5802231,Young
SRR5802232,Young
SRR5802233,Young
SRR5802234,Young
SRR5802242,Young
SRR5802238,Young
SRR5802235,Young
SRR5802250,Young
SRR5802257,Young
SRR5802259,Young
SRR5802251,Young
SRR5802264,Young
SRR5802266,Young
SRR5802267,Young
SRR5802271,Young
SRR5802260,Young
SRR5802268,Young
SRR5802263,Young
SRR5802261,Young
SRR5802270,Young
SRR5802273,Young
SRR5802275,Young
SRR5802279,Young
SRR5802280,Young
SRR5802274,Young
SRR5802276,Young
SRR5802281,Young
SRR5802284,Young
SRR5802285,Young
SRR5802277,Young
SRR5802272,Young
SRR5802287,Young
SRR5802289,Young
SRR5802291,Young
SRR5802302,Young
SRR5802300,Young
SRR5802298,Young
SRR5802293,Young
SRR5802307,Middle age
SRR5802312,Young
SRR5802320,Young
SRR5802323,Young
SRR5802313,Middle age
SRR5802321,Young
SRR5802318,Young
SRR5802328,Young
SRR5802337,Young
SRR5802334,Young
SRR5802338,Young
SRR5802345,Young
SRR5802346,Young
SRR5802330,Young
SRR5802331,Young
SRR5802350,Young
SRR5802351,Young
SRR5802352,Young
SRR5802357,Young
SRR5802361,Young
SRR5802355,Young
SRR5802368,Young
SRR5802353,Young
SRR5802369,Young
SRR5802349,Young
SRR5802358,Young
SRR5802376,Young
SRR5802379,Young
SRR5802381,Young
SRR5802383,Young
SRR5802377,Young
SRR5802384,Young
SRR5802373,Young
SRR5802374,Young
SRR5802388,Young
SRR5802389,Young
SRR5802390,Young
SRR5802393,Young
SRR5802394,Young
SRR5802400,Young
SRR5802387,Young
SRR5802399,Young
SRR5802404,Young
SRR5802402,Young
SRR5580431,Young
SRR5580465,Young
SRR5580467,Young
SRR5580471,Young
SRR5602236,Young
SRR5610112,Young
SRR5580648,Young
SRR5602043,Middle age
SRR5602082,Young
SRR5610028,Young
SRR5610071,Young
SRR5802219,Young
SRR5580464,Young
SRR5580499,Young
SRR5601943,Young
SRR5601958,Middle age
SRR5601970,Young
SRR5602004,Middle age
SRR5601952,Young
SRR5602053,Middle age
SRR5602028,Middle age
SRR5602068,Young
SRR5602040,Middle age
SRR5602089,Young
SRR5602084,Young
SRR5609962,Middle age
SRR5609978,Middle age
SRR5610057,Middle age
SRR5610062,Young
SRR5610045,Young
SRR5610068,Young
SRR5610081,Young
SRR5610082,Young
SRR5610088,Young
SRR5610119,Young
SRR5610113,Young
SRR5610127,Young
SRR5610154,Middle age
SRR5802191,Young
SRR5610167,Middle age
SRR5802208,Young
SRR5802217,Young
SRR5802224,Young
SRR5802228,Young
SRR5802230,Young
SRR5802236,Young
SRR5802245,Young
SRR5802247,Young
SRR5802255,Young
SRR5802246,Young
SRR5802265,Young
SRR5802301,Young
SRR5802296,Young
SRR5802297,Young
SRR5802304,Young
SRR5802310,Young
SRR5802322,Young
SRR5802324,Young
SRR5802309,Young
SRR5802342,Young
SRR5802348,Young
SRR5802380,Young
SRR5802403,Young
SRR5601945,Young
SRR5601997,Middle age
SRR5602113,Young
SRR5610025,Middle age
SRR5610140,Young
SRR5610147,Young
SRR5802243,Young
SRR5802327,Young
SRR5580468,Young
SRR5601915,Young
SRR5602108,Young
SRR5802237,Young
SRR5580430,Young
SRR5580432,Young
SRR5580433,Young
SRR5580434,Young
SRR5580435,Young
SRR5580438,Young
SRR5580440,Young
SRR5580463,Young
SRR5580466,Young
SRR5580429,Young
SRR5580470,Young
SRR5580500,Young
SRR5580501,Young
SRR5580502,Young
SRR5580536,Young
SRR5580539,Young
SRR5580540,Young
SRR5580543,Young
SRR5580544,Young
SRR5580583,Young
SRR5580616,Young
SRR5580619,Young
SRR5580646,Young
SRR5580650,Young
SRR5580537,Young
SRR5580651,Young
SRR5601917,Young
SRR5601944,Young
SRR5601946,Young
SRR5601947,Young
SRR5601948,Young
SRR5601949,Young
SRR5601950,Young
SRR5601954,Young
SRR5601964,Young
SRR5601969,Young
SRR5602002,Middle age
SRR5601963,Young
SRR5602045,Middle age
SRR5602047,Middle age
SRR5602072,Young
SRR5602075,Young
SRR5602081,Young
SRR5602083,Young
SRR5602085,Young
SRR5602086,Young
SRR5602087,Young
SRR5602090,Young
SRR5602104,Young
SRR5602105,Young
SRR5602106,Young
SRR5602109,Young
SRR5602111,Young
SRR5602235,Young
SRR5602240,Young
SRR5602243,Young
SRR5602244,Young
SRR5602344,Young
SRR5602237,Young
SRR5609948,Middle age
SRR5609981,Middle age
SRR5609985,Young
SRR5609986,Middle age
SRR5610000,Young
