,Env
SRR5602327,Elder
SRR5802312,Young
SRR5802193,Young
SRR5802305,Young
USygt54.T2.418497,Young
SRR5601947,Young
SRR5802393,Young
SRR5602342,Elder
SRR5610010,Elder
SRR5610047,Young
SRR5802188,Young
SRR5602119,Centenarian
USBldChld4.418528,Young
USinfTw18.1.418513,Young
USchp3Mom.418727,Young
SRR5602261,Elder
SRR5609976,Young
SRR5610074,Young
SRR5602135,Elder
SRR5602224,Elder
S150,Centenarian
SRR5610079,Young
SRR5601990,Elder
SRR5602143,Elder
SRR5602179,Centenarian
SRR5602080,Elder
SRR5602158,Elder
SRR5580498,Young
SRR5610012,Elder
SRR5602341,Elder
SRR5802390,Young
SRR5802322,Young
SRR5601923,Elder
SRR5610075,Young
SRR5602086,Young
SRR5610149,Young
SRR3679961,Centenarian
SRR3679931,Elder
SRR5802330,Young
SRR5802191,Young
SRR5602338,Elder
SRR5602273,Elder
SRR5601946,Young
SRR5802264,Young
SRR5601918,Young
SRR5602302,Elder
SRR5602134,Centenarian
SRR5602255,Elder
SRR5602078,Young
SRR5609975,Young
SRR5602192,Elder
SRR5602017,Elder
SRR5610147,Young
SRR5602178,Elder
SRR5602021,Elder
USchp35Child.418784,Young
SRR5802239,Young
SRR5802208,Young
SRR5602098,Elder
SRR3679987,Elder
SRR5580536,Young
SRR5602198,Elder
USygt12.T2.418790,Young
SRR5580538,Young
S130,Centenarian
SRR5602196,Elder
USygt11.T2.418503,Young
SRR5802293,Young
SRR5602310,Elder
SRR3680064,Elder
SRR5602316,Elder
SRR5802359,Young
SRR5602167,Elder
C024,Elder
SRR5802225,Young
SRR5802323,Young
USinfTw21.1.418467,Young
SRR5610143,Young
SRR5602099,Elder
SRR5802383,Young
USygt30.T1.418821,Young
SRR5610072,Young
SRR5610158,Young
SRR5802339,Young
SRR5580433,Young
SRR5609973,Young
SRR5602347,Elder
SRR5580463,Young
SRR5610114,Young
SRR5802290,Young
SRR5602184,Elder
USBld1.418516,Young
USchp18Child.418782,Young
SRR5802394,Young
USygt6.AS.418353,Young
SRR5602137,Elder
SRR5602015,Elder
SRR3680043,Elder
SRR5802197,Young
SRR5601948,Young
SRR5602344,Young
SRR5802361,Young
SRR5580430,Young
SRR5610039,Young
USinfTw1.2.418491,Young
SRR5580645,Young
SRR5802388,Young
Y5,Young
SRR5602097,Elder
SRR5602215,Elder
SRR5602197,Elder
S200,Centenarian
SRR5802300,Young
SRR5601992,Elder
SRR5609988,Young
SRR5802381,Young
SRR3680031,Elder
Y10,Young
SRR5802220,Young
SRR5580525,Young
Y3,Young
USygt3.T1.418429,Young
SRR5602109,Young
SRR5602130,Elder
SRR5802196,Young
SRR5610045,Young
SRR5802401,Young
SRR5802369,Young
USinfTw18.2.418796,Young
SRR5602181,Elder
SRR5610083,Young
SRR5802206,Young
C007,Elder
SRR5580466,Young
SRR5601942,Elder
SRR5602073,Young
SRR5602011,Elder
SRR5610088,Young
USygt29.T2.418768,Young
SRR5602287,Elder
SRR5802285,Young
SRR5602005,Elder
SRR5602030,Elder
K301,Elder
SRR5610034,Young
SRR5802331,Young
S210,Centenarian
SRR5610066,Young
USygt49.T1.418399,Young
SRR3679992,Elder
SRR5802276,Young
USinfTw1.1.418752,Young
SRR5802205,Young
SRR5602170,Elder
USinfTw9.2.418769,Young
SRR5601944,Young
SRR5580583,Young
K100,Elder
USygt15.T2.418859,Young
SRR5601993,Elder
SRR5610081,Young
SRR5610011,Elder
SRR5602116,Elder
SRR5602199,Elder
USygt47.T1.418692,Young
SRR5802211,Young
USygt14.T2.418813,Young
SRR5601984,Elder
SRR5802376,Young
USygt36.T1.418651,Young
SRR5601952,Young
SRR5602082,Young
SRR5802342,Young
SRR5580432,Young
SRR5610073,Young
SRR5802320,Young
SRR5580436,Young
SRR5802370,Young
SRR5610132,Young
USBldChld8.418589,Young
USygt3.T2.418807,Young
SRR5602265,Elder
SRR5602207,Elder
SRR5610113,Young
SRR5802310,Young
SRR5602293,Elder
SRR5602185,Elder
SRR5802282,Young
SRR5602186,Elder
SRR5601915,Young
SRR3679970,Elder
SRR5610120,Young
SRR5802221,Young
USygt12.T1.418615,Young
USygt39.T2.418351,Young
USygt15.T1.418779,Young
SRR5610001,Young
USinfTw17.1.418390,Young
SRR5602088,Young
SRR5602057,Elder
SRR5602290,Centenarian
SRR5602138,Centenarian
SRR5601913,Young
SRR5802386,Young
SRR5602328,Elder
SRR5610038,Young
SRR5601963,Young
USygt49.T2.418670,Young
SRR5602249,Elder
SRR5802212,Young
SRR5610029,Young
SRR5802232,Young
SRR5610028,Young
SRR5602131,Elder
USygt16.B1.418368,Young
SRR5602294,Elder
SRR5802257,Young
C052,Centenarian
SRR5602063,Elder
SRR5802185,Young
SRR5602054,Elder
SRR5602250,Elder
Y15,Young
K304,Elder
SRR5610052,Young
SRR5802277,Young
USygt13.T2.418745,Young
SRR5610140,Young
SRR3680079,Elder
SRR3679929,Elder
SRR5602180,Elder
USygt19.T2.418432,Young
USchp3Child.418614,Young
SRR5802345,Young
SRR5601950,Young
USygt54.T1.418381,Young
SRR5602124,Elder
SRR5580461,Young
SRR5610122,Young
SRR5610040,Young
SRR5602074,Young
SRR5802218,Young
SRR5802391,Young
SRR5610095,Young
SRR5802346,Young
SRR5602354,Elder
SRR5610111,Young
SRR5610068,Young
SRR5802259,Young
SRR5802400,Young
SRR5609967,Young
USinfTw6.1.418613,Young
SRR5602336,Elder
SRR5610042,Young
SRR5602205,Elder
SRR5610036,Young
USinfTw7.2.418463,Young
SRR5802355,Young
C012,Centenarian
SRR5602122,Elder
SRR5602154,Elder
SRR5802217,Young
SRR5602172,Elder
SRR3679974,Elder
SRR5602031,Elder
SRR5602168,Centenarian
SRR5601964,Young
SRR3679989,Elder
SRR5610133,Young
USygt42.T2.418716,Young
SRR5601985,Elder
SRR5602275,Elder
SRR5802275,Young
SRR5580537,Young
SRR5602141,Elder
SRR5601943,Young
SRR5802304,Young
SRR5602289,Elder
SRR5602159,Centenarian
SRR5609958,Young
SRR5610129,Young
SRR5802286,Young
SRR5602160,Centenarian
SRR5609991,Young
SRR5610000,Young
SRR3680085,Elder
SRR5610014,Elder
SRR5602010,Centenarian
C011,Elder
C010,Centenarian
SRR3679965,Elder
SRR5602238,Young
SRR5802245,Young
SRR5602101,Elder
SRR5610086,Young
SRR3680092,Young
SRR5602304,Elder
USchp1Mom.418814,Young
USBldInf3.418459,Young
USygt27.T2.418523,Young
SRR5602317,Elder
SRR5601962,Young
SRR5610037,Young
SRR5610007,Young
SRR5602023,Elder
SRR5602058,Elder
SRR5580499,Young
S240,Centenarian
USygt1.T1.418417,Young
S030,Centenarian
SRR3679930,Elder
SRR5580502,Young
SRR5602072,Young
SRR5802291,Young
SRR5602191,Elder
USchp25Child.418345,Young
K108,Elder
SRR3680011,Elder
SRR5601982,Elder
Y8,Young
SRR5802387,Young
SRR5601910,Young
SRR5602292,Elder
SRR5580647,Young
SRR5602311,Elder
SRR5602324,Centenarian
SRR5602139,Elder
SRR5602034,Elder
SRR3680093,Elder
SRR5802233,Young
SRR5802246,Young
SRR5602035,Elder
C003,Elder
USygt25.S1.418338,Young
SRR5609994,Young
C048,Elder
SRR5602206,Young
SRR3679962,Elder
SRR5802349,Young
SRR5602243,Young
USygt17.T1.418600,Young
SRR3679936,Elder
SRR5602093,Elder
SRR5802240,Young
USinfTw20.1.418640,Young
SRR5602245,Elder
USygt10.T2.418815,Young
SRR5602340,Elder
SRR5610062,Young
SRR5602240,Young
SRR3679940,Elder
SRR3680053,Elder
SRR5602022,Elder
K309,Elder
USygt33.T1.418574,Young
SRR5602118,Elder
USygt29.T1.418673,Young
SRR5802327,Young
SRR5602026,Elder
SRR3679980,Centenarian
USygt53.T1.418664,Young
USygt2.M.418457,Young
SRR5602169,Elder
SRR5802207,Young
SRR3679994,Elder
SRR5602349,Centenarian
SRR5580541,Young
SRR5610142,Young
SRR3680044,Elder
S110,Centenarian
SRR5802299,Young
SRR3680074,Elder
SRR5602153,Elder
SRR5610162,Young
SRR3679979,Elder
SRR5802224,Young
USygt14.T1.418853,Young
SRR3680068,Elder
USygt25.T2.418341,Young
SRR5580462,Young
SRR3680036,Elder
SRR5610033,Young
SRR5602323,Elder
SRR5602232,Elder
SRR5609970,Elder
SRR5602212,Elder
SRR5602014,Elder
SRR5802404,Young
SRR5609993,Young
USygt8.T1.418829,Young
SRR5610094,Young
USygt31.T1.418408,Young
SRR5602182,Centenarian
SRR5602104,Young
SRR5601928,Elder
S100,Centenarian
SRR5802337,Young
SRR3679973,Elder
SRR5802203,Young
SRR5802350,Young
SRR3680080,Elder
SRR5602090,Young
SRR5802235,Young
USygt9.B1.418824,Young
SRR5610097,Young
USchp60Child.418703,Young
SRR3679976,Elder
SRR5602286,Elder
SRR5602115,Elder
SRR5601949,Young
SRR5802287,Young
C054,Elder
SRR5601983,Elder
SRR5610065,Young
K124,Elder
SRR5602225,Elder
SRR5802190,Young
SRR5602095,Elder
SRR5610031,Young
C042,Centenarian
SRR5802260,Young
SRR5610064,Young
SRR5802243,Young
SRR5602239,Young
SRR5610035,Young
USinfTw9.1.418845,Young
SRR5602351,Centenarian
SRR5602248,Elder
SRR3680083,Elder
SRR5602166,Elder
SRR3679996,Elder
SRR3680067,Elder
SRR5602320,Elder
SRR5580619,Young
SRR5602223,Elder
USygt19.T1.418385,Young
SRR5610169,Young
SRR5802255,Young
SRR3679983,Elder
SRR5802334,Young
SRR5610157,Young
SRR5602333,Centenarian
SRR5580435,Young
SRR3679969,Elder
SRR5602083,Young
SRR5580467,Young
SRR5602353,Elder
SRR5602081,Young
SRR5610126,Young
SRR5601927,Elder
SRR5601933,Elder
USinfTw10.2.418840,Young
SRR5602112,Young
S220,Centenarian
SRR5602175,Elder
SRR5602089,Young
SRR5580438,Young
SRR5610087,Young
SRR5609971,Young
Y9,Young
SRR5610090,Young
SRR5609995,Young
SRR5802210,Young
SRR5802231,Young
USygt7.T1.418622,Young
SRR5610116,Young
SRR5602267,Elder
SRR5609956,Young
SRR3679998,Elder
SRR5609990,Young
SRR5610159,Young
SRR5802340,Young
SRR5802266,Young
SRR5610131,Young
SRR5802251,Young
SRR5609997,Young
SRR5802395,Young
USygt54.AS.418858,Young
SRR5602151,Elder
SRR5602152,Elder
SRR5602092,Centenarian
SRR5580465,Young
SRR3679988,Elder
S120,Centenarian
USygt44.B1.418371,Young
USinfTw5.1.418422,Young
SRR5580651,Young
SRR3680063,Elder
SRR5602213,Elder
SRR5802228,Young
USygt43.T2.418799,Young
USygt1.T2.418785,Young
USygt30.T2.418609,Young
SRR5580470,Young
SRR3679991,Elder
SRR5602106,Young
USygt23.T2.418458,Young
SRR5609985,Young
SRR5802302,Young
SRR3679971,Elder
SRR5610092,Young
USygt36.T2.418655,Young
SRR5602260,Centenarian
SRR5610082,Young
SRR5610030,Young
SRR5580542,Young
SRR5602284,Centenarian
SRR5602096,Elder
USinfTw10.1.418518,Young
K316,Elder
SRR5802183,Elder
SRR5580503,Young
SRR5802269,Young
SRR5580431,Young
SRR5802284,Young
USygt24.T1.418841,Young
C021,Centenarian
SRR3680086,Elder
USygt8.T2.418755,Young
SRR5602114,Elder
USinfTw2.2.418678,Young
SRR5610138,Young
SRR5609957,Young
USchp41Mom.418801,Young
SRR5802192,Young
USinfTw8.1.418366,Young
SRR5602312,Elder
SRR5602194,Elder
USygt32.S1.418608,Young
SRR5610063,Young
SRR3680046,Elder
SRR5580471,Young
SRR5601988,Elder
SRR5610128,Young
SRR5802242,Young
SRR5602062,Elder
SRR5610146,Young
SRR5802298,Young
SRR5802366,Young
SRR3679945,Elder
SRR5601996,Elder
SRR5610089,Young
SRR5802348,Young
SRR3680035,Elder
SRR5602263,Elder
SRR5602330,Elder
SRR5602027,Elder
SRR5802209,Young
SRR3680024,Elder
USBldChld7.418488,Young
SRR5602271,Elder
SRR5610119,Young
Y13,Young
SRR5602066,Elder
USinfTw4.1.418637,Young
SRR5602231,Elder
USygt16.T1.418527,Young
USygt53.T2.418455,Young
SRR5602247,Elder
SRR5610076,Young
SRR3680058,Elder
SRR5802230,Young
SRR5602313,Elder
SRR5602270,Elder
SRR5802261,Young
USygt10.T1.418683,Young
USinfTw5.2.418695,Young
SRR5602256,Centenarian
SRR5602234,Centenarian
SRR5602235,Young
SRR5602203,Elder
SRR5610049,Young
SRR3680017,Elder
SRR5802351,Young
C018,Elder
USchp50Infant.418380,Young
SRR5580434,Young
SRR5802189,Young
SRR5602087,Young
SRR3680049,Elder
SRR5802200,Young
C002,Elder
USinfTw8.2.418804,Young
SRR5602123,Elder
SRR5602032,Elder
SRR5602210,Centenarian
SRR5601954,Young
SRR5601934,Elder
SRR5610102,Young
USBldChld5.418733,Young
SRR5580429,Young
SRR5602218,Elder
SRR5802270,Young
SRR5602142,Elder
SRR5610117,Young
SRR5602189,Elder
SRR3680070,Elder
SRR5602177,Elder
SRR5601959,Elder
SRR5580652,Young
SRR5802303,Young
SRR5802250,Young
SRR5802368,Young
SRR5580650,Young
USygt43.T1.418816,Young
SRR5602176,Elder
SRR5602204,Elder
SRR5602148,Elder
SRR5610044,Young
SRR5802296,Young
SRR5602252,Elder
SRR5580544,Young
USchp33ChildA.418742,Young
SRR5601924,Elder
SRR5802234,Young
USchp36Infant.418576,Young
SRR5609996,Young
SRR5802399,Young
SRR5601989,Elder
SRR5602257,Elder
SRR5602279,Elder
SRR5602258,Elder
SRR5802402,Young
S010,Centenarian
SRR5802328,Young
SRR5610004,Young
SRR5610085,Elder
SRR5602299,Elder
USygt38.T2.418456,Young
SRR5610071,Young
SRR5601916,Young
SRR3679968,Elder
USygt24.T2.418363,Young
SRR5601917,Young
SRR5602318,Elder
SRR5610118,Young
SRR5602246,Elder
SRR3679975,Elder
SRR5610006,Young
SRR5602084,Young
USinfTw3.2.418812,Young
SRR5580616,Young
SRR5602285,Elder
SRR5602244,Young
SRR5610115,Young
SRR5610096,Young
SRR5802219,Young
SRR5602214,Elder
USchp33ChildB.418578,Young
SRR5610101,Young
S280,Centenarian
K105,Elder
S260,Centenarian
SRR5802324,Young
SRR5602012,Elder
SRR5602187,Elder
USinfTw21.2.418540,Young
SRR5602331,Elder
SRR5602157,Elder
SRR5610067,Young
SRR5610127,Young
SRR5602174,Elder
SRR3679967,Elder
SRR5802309,Young
SRR5802265,Young
USinfTw19.1.418798,Young
SRR5602297,Elder
SRR5802374,Young
SRR5602036,Elder
SRR5802280,Young
SRR5802258,Young
SRR5602339,Elder
SRR5802279,Young
SRR5802384,Young
SRR5602105,Young
SRR3680007,Elder
S020,Centenarian
USchp60Mom.418566,Young
SRR5602094,Elder
SRR5802274,Young
SRR3680048,Elder
SRR5602305,Elder
SRR5802273,Young
SRR5602079,Elder
SRR5610005,Young
SRR5602111,Young
SRR5602113,Young
SRR5601926,Elder
SRR5601986,Elder
SRR5802389,Young
USygt23.T1.418854,Young
SRR5602332,Elder
SRR5802371,Young
SRR5802187,Young
SRR5802268,Young
USygt42.T1.418811,Young
SRR5802306,Young
SRR5602020,Elder
SRR5602085,Young
USBldChld10.418660,Young
SRR5802392,Young
SRR5580648,Young
USBldChld2.418414,Young
SRR5580440,Young
SRR5580464,Young
SRR5802326,Young
USygt33.T2.418787,Young
SRR5802380,Young
SRR5601941,Elder
SRR5601945,Young
SRR5602016,Centenarian
SRR5602029,Elder
SRR5802377,Young
SRR5610008,Elder
SRR5802352,Young
SRR3680028,Elder
USygt31.T2.418361,Young
SRR5602337,Elder
SRR5601969,Young
SRR5802311,Young
USygt47.T2.418762,Young
USygt41.B1.418570,Young
USygt25.B1.418792,Young
SRR5602121,Elder
SRR5610069,Young
SRR5602315,Elder
SRR5802247,Young
SRR5802236,Young
SRR5602264,Elder
SRR5602108,Young
USygt7.T2.418392,Young
SRR5802267,Young
SRR5802216,Young
SRR5602025,Elder
SRR5580646,Young
Y12,Young
S180,Centenarian
SRR5602145,Centenarian
K125,Elder
SRR5610125,Young
USygt26.T2.418693,Young
SRR5802272,Young
SRR3680002,Elder
SRR5610080,Young
SRR5602100,Elder
USchp41Infant.418542,Young
SRR5602165,Elder
SRR5802321,Young
SRR5610091,Young
SRR3680039,Elder
SRR5610163,Young
SRR5609969,Elder
SRR5802241,Young
SRR5610032,Young
USinfTw20.2.418696,Young
SRR5602253,Elder
USinfTw6.2.418594,Young
