,Env,Contribution,Region
C007,Senior,0.6,Italy
C007,Senior,0.5,Italy
C007,Senior,0.54,Italy
C007,Senior,0.59,Italy
C007,Young,0.35,Italy
C007,Young,0.29,Italy
C007,Young,0.44,Italy
C007,Young,0.38,Italy
C007,Young,0.48,Italy
C007,Young,0.36,Italy
C007,Young,0.41,Italy
C007,Young,0.39,Italy
C007,Young,0.44,Italy
C007,Young,0.46,Italy
C007,Young,0.45,Italy
C007,Young,0.34,Italy
C007,Young,0.43,Italy
C007,Young,0.39,Italy
C007,Young,0.42,Italy
C007,Young,0.48,Italy
C007,Young,0.44,Italy
C007,Young,0.4,Italy
C007,Young,0.39,Italy
C007,Young,0.42,Italy
C007,Young,0.35,Italy
C007,Young,0.39,Italy
C007,Young,0.39,Italy
C007,Young,0.41,Italy
C007,Young,0.4,Italy
C007,Young,0.5,Italy
C007,Young,0.46,Italy
C007,Young,0.41,Italy
C011,Senior,0.65,Italy
C011,Senior,0.68,Italy
C011,Senior,0.56,Italy
C011,Senior,0.56,Italy
C011,Senior,0.65,Italy
C011,Senior,0.62,Italy
C011,Senior,0.59,Italy
C011,Senior,0.61,Italy
C011,Senior,0.66,Italy
C011,Senior,0.56,Italy
C011,Senior,0.62,Italy
C011,Senior,0.64,Italy
C011,Senior,0.55,Italy
C011,Senior,0.61,Italy
C011,Senior,0.6,Italy
C011,Senior,0.62,Italy
C011,Senior,0.55,Italy
C011,Senior,0.67,Italy
C011,Senior,0.59,Italy
C011,Senior,0.59,Italy
C011,Senior,0.69,Italy
C011,Young,0.35,Italy
C011,Young,0.32,Italy
C011,Young,0.44,Italy
C011,Young,0.44,Italy
C011,Young,0.35,Italy
C011,Young,0.38,Italy
C011,Young,0.41,Italy
C011,Young,0.39,Italy
C011,Young,0.34,Italy
C011,Young,0.44,Italy
C011,Young,0.38,Italy
C011,Young,0.36,Italy
C011,Young,0.45,Italy
C011,Young,0.39,Italy
C011,Young,0.4,Italy
C011,Young,0.38,Italy
C011,Young,0.45,Italy
C011,Young,0.33,Italy
C011,Young,0.41,Italy
C011,Young,0.41,Italy
C011,Young,0.31,Italy
C018,Senior,0.5,Italy
C018,Senior,0.58,Italy
C018,Senior,0.53,Italy
C018,Senior,0.59,Italy
C018,Senior,0.6,Italy
C018,Senior,0.57,Italy
C018,Senior,0.55,Italy
C018,Senior,0.67,Italy
C018,Senior,0.52,Italy
C018,Senior,0.61,Italy
C018,Senior,0.58,Italy
C018,Senior,0.49,Italy
C018,Senior,0.58,Italy
C018,Senior,0.5,Italy
C018,Senior,0.72,Italy
C018,Senior,0.56,Italy
C018,Senior,0.57,Italy
C018,Senior,0.54,Italy
C018,Senior,0.56,Italy
C018,Senior,0.63,Italy
C018,Senior,0.57,Italy
C018,Young,0.5,Italy
C018,Young,0.42,Italy
C018,Young,0.47,Italy
C018,Young,0.41,Italy
C018,Young,0.4,Italy
C018,Young,0.43,Italy
C018,Young,0.45,Italy
C018,Young,0.33,Italy
C018,Young,0.48,Italy
C018,Young,0.39,Italy
C018,Young,0.42,Italy
C018,Young,0.51,Italy
C018,Young,0.42,Italy
C018,Young,0.5,Italy
C018,Young,0.28,Italy
C018,Young,0.44,Italy
C018,Young,0.43,Italy
C018,Young,0.46,Italy
C018,Young,0.44,Italy
C018,Young,0.37,Italy
C018,Young,0.43,Italy
C024,Senior,0.46,Italy
C024,Senior,0.48,Italy
C024,Senior,0.4,Italy
C024,Senior,0.43,Italy
C024,Senior,0.55,Italy
C024,Senior,0.44,Italy
C024,Senior,0.54,Italy
C024,Senior,0.56,Italy
C024,Senior,0.42,Italy
C024,Senior,0.53,Italy
C024,Senior,0.47,Italy
C024,Senior,0.56,Italy
C024,Senior,0.52,Italy
C024,Senior,0.46,Italy
C024,Senior,0.47,Italy
C024,Senior,0.44,Italy
C024,Senior,0.44,Italy
C024,Senior,0.54,Italy
C024,Senior,0.44,Italy
C024,Young,0.54,Italy
C024,Young,0.52,Italy
C024,Young,0.6,Italy
C024,Young,0.57,Italy
C024,Young,0.45,Italy
C024,Young,0.56,Italy
C024,Young,0.46,Italy
C024,Young,0.44,Italy
C024,Young,0.58,Italy
C024,Young,0.47,Italy
C024,Young,0.53,Italy
C024,Young,0.44,Italy
C024,Young,0.48,Italy
C024,Young,0.54,Italy
C024,Young,0.53,Italy
C024,Young,0.56,Italy
C024,Young,0.56,Italy
C024,Young,0.46,Italy
C024,Young,0.56,Italy
C048,Senior,0.75,Italy
C048,Senior,0.86,Italy
C048,Senior,0.79,Italy
C048,Senior,0.76,Italy
C048,Senior,0.77,Italy
C048,Senior,0.85,Italy
C048,Senior,0.79,Italy
C048,Senior,0.67,Italy
C048,Senior,0.84,Italy
C048,Senior,0.8,Italy
C048,Senior,0.84,Italy
C048,Senior,0.77,Italy
C048,Young,0.25,Italy
C048,Young,0.14,Italy
C048,Young,0.21,Italy
C048,Young,0.24,Italy
C048,Young,0.23,Italy
C048,Young,0.15,Italy
C048,Young,0.21,Italy
C048,Young,0.33,Italy
C048,Young,0.16,Italy
C048,Young,0.2,Italy
C048,Young,0.16,Italy
C048,Young,0.23,Italy
C054,Senior,0.36,Italy
C054,Senior,0.47,Italy
C054,Senior,0.49,Italy
C054,Senior,0.51,Italy
C054,Senior,0.47,Italy
C054,Senior,0.45,Italy
C054,Senior,0.43,Italy
C054,Senior,0.52,Italy
C054,Senior,0.56,Italy
C054,Senior,0.36,Italy
C054,Senior,0.46,Italy
C054,Senior,0.45,Italy
C054,Senior,0.45,Italy
C054,Senior,0.4,Italy
C054,Senior,0.49,Italy
C054,Senior,0.52,Italy
C054,Senior,0.57,Italy
C054,Senior,0.51,Italy
C054,Senior,0.56,Italy
C054,Senior,0.47,Italy
C054,Young,0.64,Italy
C054,Young,0.53,Italy
C054,Young,0.51,Italy
C054,Young,0.49,Italy
C054,Young,0.53,Italy
C054,Young,0.55,Italy
C054,Young,0.57,Italy
C054,Young,0.48,Italy
C054,Young,0.44,Italy
C054,Young,0.64,Italy
C054,Young,0.54,Italy
C054,Young,0.55,Italy
C054,Young,0.55,Italy
C054,Young,0.6,Italy
C054,Young,0.51,Italy
C054,Young,0.48,Italy
C054,Young,0.43,Italy
C054,Young,0.49,Italy
C054,Young,0.44,Italy
C054,Young,0.53,Italy
K100,Senior,0.53,Italy
K100,Senior,0.46,Italy
K100,Senior,0.41,Italy
K100,Senior,0.45,Italy
K100,Senior,0.5,Italy
K100,Senior,0.51,Italy
K100,Senior,0.49,Italy
K100,Senior,0.37,Italy
K100,Senior,0.43,Italy
K100,Senior,0.61,Italy
K100,Senior,0.44,Italy
K100,Senior,0.5,Italy
K100,Senior,0.46,Italy
K100,Senior,0.49,Italy
K100,Senior,0.42,Italy
K100,Senior,0.49,Italy
K100,Senior,0.48,Italy
K100,Senior,0.46,Italy
K100,Senior,0.47,Italy
K100,Senior,0.6,Italy
K100,Senior,0.45,Italy
K100,Senior,0.49,Italy
K100,Senior,0.32,Italy
K100,Young,0.47,Italy
K100,Young,0.54,Italy
K100,Young,0.59,Italy
K100,Young,0.55,Italy
K100,Young,0.5,Italy
K100,Young,0.49,Italy
K100,Young,0.51,Italy
K100,Young,0.63,Italy
K100,Young,0.57,Italy
K100,Young,0.39,Italy
K100,Young,0.56,Italy
K100,Young,0.5,Italy
K100,Young,0.54,Italy
K100,Young,0.51,Italy
K100,Young,0.58,Italy
K100,Young,0.51,Italy
K100,Young,0.52,Italy
K100,Young,0.54,Italy
K100,Young,0.53,Italy
K100,Young,0.4,Italy
K100,Young,0.55,Italy
K100,Young,0.51,Italy
K100,Young,0.68,Italy
K105,Senior,0.46,Italy
K105,Senior,0.47,Italy
K105,Senior,0.3,Italy
K105,Senior,0.32,Italy
K105,Senior,0.38,Italy
K105,Senior,0.42,Italy
K105,Senior,0.45,Italy
K105,Senior,0.54,Italy
K105,Senior,0.5,Italy
K105,Senior,0.48,Italy
K105,Senior,0.32,Italy
K105,Senior,0.52,Italy
K105,Senior,0.39,Italy
K105,Senior,0.4,Italy
K105,Senior,0.38,Italy
K105,Senior,0.41,Italy
K105,Senior,0.52,Italy
K105,Senior,0.55,Italy
K105,Senior,0.41,Italy
K105,Senior,0.45,Italy
K105,Senior,0.48,Italy
K105,Young,0.54,Italy
K105,Young,0.53,Italy
K105,Young,0.7,Italy
K105,Young,0.68,Italy
K105,Young,0.62,Italy
K105,Young,0.58,Italy
K105,Young,0.55,Italy
K105,Young,0.46,Italy
K105,Young,0.5,Italy
K105,Young,0.52,Italy
K105,Young,0.68,Italy
K105,Young,0.48,Italy
K105,Young,0.61,Italy
K105,Young,0.6,Italy
K105,Young,0.62,Italy
K105,Young,0.59,Italy
K105,Young,0.48,Italy
K105,Young,0.45,Italy
K105,Young,0.59,Italy
K105,Young,0.55,Italy
K105,Young,0.52,Italy
K106,Senior,0.47,Italy
K106,Senior,0.43,Italy
K106,Senior,0.28,Italy
K106,Senior,0.35,Italy
K106,Senior,0.49,Italy
K106,Senior,0.42,Italy
K106,Senior,0.38,Italy
K106,Senior,0.35,Italy
K106,Senior,0.3,Italy
K106,Senior,0.49,Italy
K106,Senior,0.49,Italy
K106,Senior,0.42,Italy
K106,Senior,0.44,Italy
K106,Senior,0.44,Italy
K106,Senior,0.36,Italy
K106,Young,0.53,Italy
K106,Young,0.57,Italy
K106,Young,0.72,Italy
K106,Young,0.65,Italy
K106,Young,0.51,Italy
K106,Young,0.58,Italy
K106,Young,0.62,Italy
K106,Young,0.65,Italy
K106,Young,0.7,Italy
K106,Young,0.51,Italy
K106,Young,0.51,Italy
K106,Young,0.58,Italy
K106,Young,0.56,Italy
K106,Young,0.56,Italy
K106,Young,0.64,Italy
K108,Senior,0.53,Italy
K108,Senior,0.44,Italy
K108,Senior,0.56,Italy
K108,Senior,0.59,Italy
K108,Senior,0.51,Italy
K108,Senior,0.54,Italy
K108,Senior,0.53,Italy
K108,Senior,0.51,Italy
K108,Senior,0.5,Italy
K108,Senior,0.54,Italy
K108,Senior,0.54,Italy
K108,Senior,0.46,Italy
K108,Young,0.47,Italy
K108,Young,0.56,Italy
K108,Young,0.44,Italy
K108,Young,0.41,Italy
K108,Young,0.49,Italy
K108,Young,0.46,Italy
K108,Young,0.47,Italy
K108,Young,0.49,Italy
K108,Young,0.5,Italy
K108,Young,0.46,Italy
K108,Young,0.46,Italy
K108,Young,0.54,Italy
K113,Senior,0.46,Italy
K113,Senior,0.6,Italy
K113,Senior,0.42,Italy
K113,Senior,0.54,Italy
K113,Senior,0.51,Italy
K113,Senior,0.45,Italy
K113,Senior,0.47,Italy
K113,Senior,0.46,Italy
K113,Senior,0.47,Italy
K113,Senior,0.46,Italy
K113,Senior,0.55,Italy
K113,Senior,0.58,Italy
K113,Senior,0.5,Italy
K113,Senior,0.36,Italy
K113,Senior,0.44,Italy
K113,Senior,0.54,Italy
K113,Senior,0.42,Italy
K113,Senior,0.46,Italy
K113,Senior,0.49,Italy
K113,Young,0.54,Italy
K113,Young,0.4,Italy
K113,Young,0.58,Italy
K113,Young,0.46,Italy
K113,Young,0.49,Italy
K113,Young,0.55,Italy
K113,Young,0.53,Italy
K113,Young,0.54,Italy
K113,Young,0.53,Italy
K113,Young,0.54,Italy
K113,Young,0.45,Italy
K113,Young,0.42,Italy
K113,Young,0.5,Italy
K113,Young,0.64,Italy
K113,Young,0.56,Italy
K113,Young,0.46,Italy
K113,Young,0.58,Italy
K113,Young,0.54,Italy
K113,Young,0.51,Italy
K119,Senior,0.71,Italy
K119,Senior,0.64,Italy
K119,Senior,0.62,Italy
K119,Senior,0.72,Italy
K119,Senior,0.74,Italy
K119,Senior,0.71,Italy
K119,Senior,0.74,Italy
K119,Senior,0.75,Italy
K119,Senior,0.74,Italy
K119,Senior,0.7,Italy
K119,Senior,0.64,Italy
K119,Senior,0.66,Italy
K119,Senior,0.81,Italy
K119,Senior,0.74,Italy
K119,Senior,0.73,Italy
K119,Young,0.29,Italy
K119,Young,0.36,Italy
K119,Young,0.38,Italy
K119,Young,0.28,Italy
K119,Young,0.26,Italy
K119,Young,0.29,Italy
K119,Young,0.26,Italy
K119,Young,0.25,Italy
K119,Young,0.26,Italy
K119,Young,0.3,Italy
K119,Young,0.36,Italy
K119,Young,0.34,Italy
K119,Young,0.19,Italy
K119,Young,0.26,Italy
K119,Young,0.27,Italy
K124,Senior,0.43,Italy
K124,Senior,0.42,Italy
K124,Senior,0.41,Italy
K124,Senior,0.48,Italy
K124,Senior,0.35,Italy
K124,Senior,0.49,Italy
K124,Senior,0.41,Italy
K124,Senior,0.32,Italy
K124,Senior,0.42,Italy
K124,Senior,0.43,Italy
K124,Senior,0.39,Italy
K124,Senior,0.41,Italy
K124,Senior,0.48,Italy
K124,Senior,0.31,Italy
K124,Senior,0.45,Italy
K124,Senior,0.42,Italy
K124,Senior,0.42,Italy
K124,Young,0.57,Italy
K124,Young,0.58,Italy
K124,Young,0.59,Italy
K124,Young,0.52,Italy
K124,Young,0.65,Italy
K124,Young,0.51,Italy
K124,Young,0.59,Italy
K124,Young,0.68,Italy
K124,Young,0.58,Italy
K124,Young,0.57,Italy
K124,Young,0.61,Italy
K124,Young,0.59,Italy
K124,Young,0.52,Italy
K124,Young,0.69,Italy
K124,Young,0.55,Italy
K124,Young,0.58,Italy
K124,Young,0.58,Italy
K125,Senior,0.71,Italy
K125,Senior,0.54,Italy
K125,Senior,0.65,Italy
K125,Senior,0.64,Italy
K125,Senior,0.61,Italy
K125,Senior,0.6,Italy
K125,Senior,0.62,Italy
K125,Senior,0.61,Italy
K125,Senior,0.67,Italy
K125,Senior,0.63,Italy
K125,Senior,0.61,Italy
K125,Senior,0.53,Italy
K125,Senior,0.56,Italy
K125,Senior,0.67,Italy
K125,Senior,0.61,Italy
K125,Senior,0.55,Italy
K125,Young,0.29,Italy
K125,Young,0.46,Italy
K125,Young,0.35,Italy
K125,Young,0.36,Italy
K125,Young,0.39,Italy
K125,Young,0.4,Italy
K125,Young,0.38,Italy
K125,Young,0.39,Italy
K125,Young,0.33,Italy
K125,Young,0.37,Italy
K125,Young,0.39,Italy
K125,Young,0.47,Italy
K125,Young,0.44,Italy
K125,Young,0.33,Italy
K125,Young,0.39,Italy
K125,Young,0.45,Italy
K301,Senior,0.56,Italy
K301,Senior,0.54,Italy
K301,Senior,0.54,Italy
K301,Senior,0.54,Italy
K301,Senior,0.44,Italy
K301,Senior,0.56,Italy
K301,Senior,0.57,Italy
K301,Senior,0.37,Italy
K301,Senior,0.51,Italy
K301,Senior,0.5,Italy
K301,Senior,0.5,Italy
K301,Senior,0.53,Italy
K301,Young,0.44,Italy
K301,Young,0.46,Italy
K301,Young,0.46,Italy
K301,Young,0.46,Italy
K301,Young,0.56,Italy
K301,Young,0.44,Italy
K301,Young,0.43,Italy
K301,Young,0.63,Italy
K301,Young,0.49,Italy
K301,Young,0.5,Italy
K301,Young,0.5,Italy
K301,Young,0.47,Italy
K304,Senior,0.59,Italy
K304,Senior,0.51,Italy
K304,Senior,0.53,Italy
K304,Senior,0.55,Italy
K304,Senior,0.56,Italy
K304,Senior,0.47,Italy
K304,Senior,0.49,Italy
K304,Senior,0.59,Italy
K304,Senior,0.59,Italy
K304,Senior,0.61,Italy
K304,Senior,0.52,Italy
K304,Senior,0.48,Italy
K304,Senior,0.48,Italy
K304,Senior,0.4,Italy
K304,Senior,0.55,Italy
K304,Senior,0.43,Italy
K304,Senior,0.57,Italy
K304,Senior,0.56,Italy
K304,Senior,0.52,Italy
K304,Senior,0.47,Italy
K304,Senior,0.59,Italy
K304,Senior,0.5,Italy
K304,Senior,0.56,Italy
K304,Senior,0.55,Italy
K304,Senior,0.6,Italy
K304,Senior,0.6,Italy
K304,Young,0.41,Italy
K304,Young,0.49,Italy
K304,Young,0.47,Italy
K304,Young,0.45,Italy
K304,Young,0.44,Italy
K304,Young,0.53,Italy
K304,Young,0.51,Italy
K304,Young,0.41,Italy
K304,Young,0.41,Italy
K304,Young,0.39,Italy
K304,Young,0.48,Italy
K304,Young,0.52,Italy
K304,Young,0.52,Italy
K304,Young,0.6,Italy
K304,Young,0.45,Italy
K304,Young,0.57,Italy
K304,Young,0.43,Italy
K304,Young,0.44,Italy
K304,Young,0.48,Italy
K304,Young,0.53,Italy
K304,Young,0.41,Italy
K304,Young,0.5,Italy
K304,Young,0.44,Italy
K304,Young,0.45,Italy
K304,Young,0.4,Italy
K304,Young,0.4,Italy
K306,Senior,0.31,Italy
K306,Senior,0.42,Italy
K306,Senior,0.41,Italy
K306,Senior,0.45,Italy
K306,Senior,0.41,Italy
K306,Senior,0.46,Italy
K306,Senior,0.46,Italy
K306,Senior,0.44,Italy
K306,Senior,0.38,Italy
K306,Senior,0.42,Italy
K306,Senior,0.27,Italy
K306,Senior,0.41,Italy
K306,Senior,0.4,Italy
K306,Senior,0.4,Italy
K306,Senior,0.41,Italy
K306,Young,0.69,Italy
K306,Young,0.58,Italy
K306,Young,0.59,Italy
K306,Young,0.55,Italy
K306,Young,0.59,Italy
K306,Young,0.54,Italy
K306,Young,0.54,Italy
K306,Young,0.56,Italy
K306,Young,0.62,Italy
K306,Young,0.58,Italy
K306,Young,0.73,Italy
K306,Young,0.59,Italy
K306,Young,0.6,Italy
K306,Young,0.6,Italy
K306,Young,0.59,Italy
K309,Senior,0.53,Italy
K309,Senior,0.38,Italy
K309,Senior,0.47,Italy
K309,Senior,0.48,Italy
K309,Senior,0.54,Italy
K309,Senior,0.57,Italy
K309,Senior,0.44,Italy
K309,Senior,0.5,Italy
K309,Senior,0.44,Italy
K309,Senior,0.38,Italy
K309,Senior,0.49,Italy
K309,Senior,0.55,Italy
K309,Senior,0.48,Italy
K309,Senior,0.45,Italy
K309,Senior,0.52,Italy
K309,Senior,0.52,Italy
K309,Senior,0.45,Italy
K309,Senior,0.43,Italy
K309,Young,0.47,Italy
K309,Young,0.62,Italy
K309,Young,0.53,Italy
K309,Young,0.52,Italy
K309,Young,0.46,Italy
K309,Young,0.43,Italy
K309,Young,0.56,Italy
K309,Young,0.5,Italy
K309,Young,0.56,Italy
K309,Young,0.62,Italy
K309,Young,0.51,Italy
K309,Young,0.45,Italy
K309,Young,0.52,Italy
K309,Young,0.55,Italy
K309,Young,0.48,Italy
K309,Young,0.48,Italy
K309,Young,0.55,Italy
K309,Young,0.57,Italy
K316,Senior,0.48,Italy
K316,Senior,0.48,Italy
K316,Senior,0.51,Italy
K316,Senior,0.46,Italy
K316,Senior,0.37,Italy
K316,Senior,0.48,Italy
K316,Senior,0.47,Italy
K316,Senior,0.4,Italy
K316,Senior,0.4,Italy
K316,Senior,0.51,Italy
K316,Senior,0.4,Italy
K316,Senior,0.39,Italy
K316,Senior,0.51,Italy
K316,Senior,0.41,Italy
K316,Senior,0.49,Italy
K316,Senior,0.43,Italy
K316,Senior,0.41,Italy
K316,Young,0.52,Italy
K316,Young,0.52,Italy
K316,Young,0.49,Italy
K316,Young,0.54,Italy
K316,Young,0.63,Italy
K316,Young,0.52,Italy
K316,Young,0.53,Italy
K316,Young,0.6,Italy
K316,Young,0.6,Italy
K316,Young,0.49,Italy
K316,Young,0.6,Italy
K316,Young,0.61,Italy
K316,Young,0.49,Italy
K316,Young,0.59,Italy
K316,Young,0.51,Italy
K316,Young,0.57,Italy
K316,Young,0.59,Italy
SRR3679929,Senior,0.76,Sichuan
SRR3679929,Senior,0.84,Sichuan
SRR3679929,Senior,0.75,Sichuan
SRR3679929,Senior,0.8,Sichuan
SRR3679929,Senior,0.71,Sichuan
SRR3679929,Senior,0.76,Sichuan
SRR3679929,Senior,0.89,Sichuan
SRR3679929,Senior,0.73,Sichuan
SRR3679929,Senior,0.77,Sichuan
SRR3679929,Young,0.24,Sichuan
SRR3679929,Young,0.16,Sichuan
SRR3679929,Young,0.25,Sichuan
SRR3679929,Young,0.2,Sichuan
SRR3679929,Young,0.29,Sichuan
SRR3679929,Young,0.24,Sichuan
SRR3679929,Young,0.11,Sichuan
SRR3679929,Young,0.27,Sichuan
SRR3679929,Young,0.23,Sichuan
SRR3679930,Senior,0.85,Sichuan
SRR3679930,Senior,0.83,Sichuan
SRR3679930,Senior,0.86,Sichuan
SRR3679930,Senior,0.84,Sichuan
SRR3679930,Senior,0.87,Sichuan
SRR3679930,Senior,0.85,Sichuan
SRR3679930,Senior,0.82,Sichuan
SRR3679930,Senior,0.89,Sichuan
SRR3679930,Senior,0.82,Sichuan
SRR3679930,Senior,0.92,Sichuan
SRR3679930,Senior,0.87,Sichuan
SRR3679930,Senior,0.77,Sichuan
SRR3679930,Senior,0.91,Sichuan
SRR3679930,Senior,0.92,Sichuan
SRR3679930,Senior,0.88,Sichuan
SRR3679930,Senior,0.78,Sichuan
SRR3679930,Young,0.15,Sichuan
SRR3679930,Young,0.17,Sichuan
SRR3679930,Young,0.14,Sichuan
SRR3679930,Young,0.16,Sichuan
SRR3679930,Young,0.13,Sichuan
SRR3679930,Young,0.15,Sichuan
SRR3679930,Young,0.18,Sichuan
SRR3679930,Young,0.11,Sichuan
SRR3679930,Young,0.18,Sichuan
SRR3679930,Young,0.08,Sichuan
SRR3679930,Young,0.13,Sichuan
SRR3679930,Young,0.23,Sichuan
SRR3679930,Young,0.09,Sichuan
SRR3679930,Young,0.08,Sichuan
SRR3679930,Young,0.12,Sichuan
SRR3679930,Young,0.22,Sichuan
SRR3679931,Senior,0.83,Sichuan
SRR3679931,Senior,0.72,Sichuan
SRR3679931,Senior,0.84,Sichuan
SRR3679931,Senior,0.76,Sichuan
SRR3679931,Senior,0.82,Sichuan
SRR3679931,Senior,0.84,Sichuan
SRR3679931,Senior,0.78,Sichuan
SRR3679931,Senior,0.82,Sichuan
SRR3679931,Senior,0.72,Sichuan
SRR3679931,Senior,0.83,Sichuan
SRR3679931,Senior,0.79,Sichuan
SRR3679931,Senior,0.84,Sichuan
SRR3679931,Young,0.17,Sichuan
SRR3679931,Young,0.28,Sichuan
SRR3679931,Young,0.16,Sichuan
SRR3679931,Young,0.24,Sichuan
SRR3679931,Young,0.18,Sichuan
SRR3679931,Young,0.16,Sichuan
SRR3679931,Young,0.22,Sichuan
SRR3679931,Young,0.18,Sichuan
SRR3679931,Young,0.28,Sichuan
SRR3679931,Young,0.17,Sichuan
SRR3679931,Young,0.21,Sichuan
SRR3679931,Young,0.16,Sichuan
SRR3679936,Senior,0.83,Sichuan
SRR3679936,Senior,0.75,Sichuan
SRR3679936,Senior,0.76,Sichuan
SRR3679936,Senior,0.73,Sichuan
SRR3679936,Senior,0.88,Sichuan
SRR3679936,Senior,0.75,Sichuan
SRR3679936,Senior,0.75,Sichuan
SRR3679936,Senior,0.84,Sichuan
SRR3679936,Senior,0.79,Sichuan
SRR3679936,Senior,0.73,Sichuan
SRR3679936,Senior,0.79,Sichuan
SRR3679936,Senior,0.84,Sichuan
SRR3679936,Senior,0.81,Sichuan
SRR3679936,Senior,0.78,Sichuan
SRR3679936,Senior,0.79,Sichuan
SRR3679936,Young,0.17,Sichuan
SRR3679936,Young,0.25,Sichuan
SRR3679936,Young,0.24,Sichuan
SRR3679936,Young,0.27,Sichuan
SRR3679936,Young,0.12,Sichuan
SRR3679936,Young,0.25,Sichuan
SRR3679936,Young,0.25,Sichuan
SRR3679936,Young,0.16,Sichuan
SRR3679936,Young,0.21,Sichuan
SRR3679936,Young,0.27,Sichuan
SRR3679936,Young,0.21,Sichuan
SRR3679936,Young,0.16,Sichuan
SRR3679936,Young,0.19,Sichuan
SRR3679936,Young,0.22,Sichuan
SRR3679936,Young,0.21,Sichuan
SRR3679940,Senior,0.69,Sichuan
SRR3679940,Senior,0.75,Sichuan
SRR3679940,Senior,0.69,Sichuan
SRR3679940,Senior,0.82,Sichuan
SRR3679940,Senior,0.81,Sichuan
SRR3679940,Senior,0.73,Sichuan
SRR3679940,Senior,0.76,Sichuan
SRR3679940,Senior,0.79,Sichuan
SRR3679940,Senior,0.69,Sichuan
SRR3679940,Senior,0.71,Sichuan
SRR3679940,Senior,0.81,Sichuan
SRR3679940,Senior,0.75,Sichuan
SRR3679940,Senior,0.73,Sichuan
SRR3679940,Senior,0.78,Sichuan
SRR3679940,Senior,0.81,Sichuan
SRR3679940,Senior,0.74,Sichuan
SRR3679940,Young,0.31,Sichuan
SRR3679940,Young,0.25,Sichuan
SRR3679940,Young,0.31,Sichuan
SRR3679940,Young,0.18,Sichuan
SRR3679940,Young,0.19,Sichuan
SRR3679940,Young,0.27,Sichuan
SRR3679940,Young,0.24,Sichuan
SRR3679940,Young,0.21,Sichuan
SRR3679940,Young,0.31,Sichuan
SRR3679940,Young,0.29,Sichuan
SRR3679940,Young,0.19,Sichuan
SRR3679940,Young,0.25,Sichuan
SRR3679940,Young,0.27,Sichuan
SRR3679940,Young,0.22,Sichuan
SRR3679940,Young,0.19,Sichuan
SRR3679940,Young,0.26,Sichuan
SRR3679945,Senior,0.69,Sichuan
SRR3679945,Senior,0.79,Sichuan
SRR3679945,Senior,0.74,Sichuan
SRR3679945,Senior,0.76,Sichuan
SRR3679945,Senior,0.71,Sichuan
