Samples	SRR5602284	S030	SRR5602256	C052	SRR5602010	SRR5602119	S080	SRR5602345	SRR5602349	S110	S130	SRR5602210	SRR5602193	C042	SRR5602168	S050	SRR5602138	S290	SRR5602092	S150	SRR3679980	SRR5602155	S100	S010	C012	SRR5602016	S320	SRR5602145	SRR5602234	S240	SRR5602125	S280	C010	S220	S180	SRR5602335	SRR5602290	S260	S020	SRR5602220	SRR5602333	SRR5602182	SRR5602160	SRR5602179	SRR3679961	SRR5602134	SRR5602260	SRR5602351	C021	S210	S330	S200	SRR5602324	S120	SRR5602159
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae;g__Saccharopolyspora	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Tsukamurellaceae;g__Tsukamurella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Yaniellaceae;g__Yaniella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0001	0.0	0.0003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Alloscardovia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0.0002	0.0304	0.0046	0.0482	0.0001	0.0017	0.0289	0.0087	0.0362	0.0012	0.0019	0.0197	0.026	0.0764	0.0982	0.0676	0.0002	0.2049	0.0001	0.2544	0.0	0.0094	0.1446	0.2194	0.1415	0.0029	0.0003	0.0435	0.0013	0.0088	0.0006	0.011	0.0506	0.1092	0.0004	0.0001	0.0003	0.1103	0.0117	0.0006	0.0002	0.0004	0.0014	0.0045	0.0	0.0168	0.0001	0.0003	0.0281	0.0907	0.0531	0.246	0.0098	0.0666	0.0006
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Scardovia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__	0.0017	0.0026	0.0013	0.0027	0.0	0.0002	0.0006	0.0048	0.0004	0.0006	0.0439	0.0014	0.0002	0.0137	0.0019	0.0021	0.0001	0.0054	0.0	0.0192	0.0	0.0006	0.0029	0.0066	0.0027	0.0013	0.0027	0.0033	0.0002	0.0049	0.0	0.0033	0.0061	0.0029	0.0003	0.0027	0.0011	0.0058	0.0007	0.0002	0.0003	0.0006	0.0006	0.0003	0.0003	0.0044	0.011	0.0	0.0075	0.0003	0.0065	0.0035	0.0002	0.0039	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia	0.0005	0.0	0.0014	0.0008	0.0	0.0	0.0	0.0003	0.0	0.0006	0.0001	0.0007	0.0019	0.0006	0.0091	0.0	0.0	0.0	0.0001	0.0005	0.0	0.0001	0.0	0.0001	0.0	0.0002	0.0	0.0015	0.0009	0.0001	0.0	0.0	0.0033	0.0	0.0	0.0001	0.0002	0.0	0.0003	0.0	0.0	0.0	0.0	0.0002	0.0	0.0002	0.001	0.0027	0.0	0.0	0.0	0.0002	0.0	0.0001	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Atopobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0001	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0001	0.0	0.0001
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	0.0157	0.0256	0.0096	0.0062	0.0001	0.0001	0.0025	0.0339	0.013	0.0091	0.002	0.0039	0.0099	0.0588	0.0558	0.0277	0.0	0.0	0.0	0.027	0.0	0.0019	0.0149	0.018	0.0046	0.0119	0.0	0.0074	0.0015	0.0002	0.0	0.0031	0.0	0.0082	0.0127	0.0	0.0027	0.014	0.0001	0.0005	0.0011	0.0148	0.0034	0.0021	0.0015	0.0102	0.0879	0.0005	0.0164	0.0003	0.0001	0.0114	0.0054	0.0001	0.0007
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella	0.0049	0.0013	0.0	0.0005	0.0	0.0002	0.0035	0.0001	0.0022	0.0014	0.0001	0.0001	0.0013	0.006	0.0019	0.0005	0.0016	0.0041	0.0002	0.0014	0.0	0.0	0.0022	0.0	0.0018	0.0007	0.0043	0.0009	0.0	0.0022	0.0085	0.0039	0.0024	0.0105	0.0004	0.0003	0.0038	0.0008	0.0018	0.0002	0.0025	0.0	0.0	0.011	0.0001	0.0	0.0006	0.0004	0.0	0.0066	0.0023	0.0093	0.0003	0.0022	0.0001
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Enterococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Slackia	0.0	0.0056	0.0	0.0013	0.0	0.0	0.0	0.0009	0.0	0.0	0.0	0.0001	0.0	0.0113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0037	0.0004	0.0007	0.0	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002	0.0004	0.0	0.0	0.0	0.0	0.0	0.0	0.0002	0.0	0.0011	0.0	0.0	0.0006	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia];o__;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__	0.0	0.0013	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0004	0.0	0.0	0.0	0.0	0.0047	0.0	0.0	0.0	0.0057	0.0009	0.0024	0.0	0.0003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004	0.0	0.0035	0.0032	0.0	0.0	0.0	0.0	0.0098	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__BA008;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__5-7N15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__BF311	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0.0758	0.0887	0.1364	0.1126	0.4076	0.4373	0.2254	0.0276	0.2009	0.1734	0.0226	0.0364	0.1141	0.0691	0.048	0.1558	0.6903	0.0255	0.4829	0.0053	0.0403	0.0805	0.0409	0.0111	0.0487	0.2868	0.0091	0.2318	0.3399	0.0072	0.0285	0.065	0.0363	0.0645	0.1381	0.129	0.1257	0.0101	0.1617	0.0918	0.2059	0.1298	0.1096	0.2075	0.4232	0.1341	0.0457	0.3319	0.0486	0.0419	0.0192	0.0206	0.6671	0.1574	0.2437
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__GZKB119;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinilabiaceae;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Candidatus Azobacteroides	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Dysgonomonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Paludibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides	0.0085	0.0374	0.0279	0.0163	0.0077	0.0177	0.0073	0.0027	0.0333	0.0335	0.0022	0.0051	0.032	0.0045	0.0027	0.0118	0.0344	0.0082	0.0126	0.0	0.0014	0.0232	0.0089	0.0009	0.0108	0.0413	0.0012	0.0336	0.0518	0.0032	0.0004	0.0312	0.0092	0.0293	0.011	0.0324	0.011	0.0007	0.0084	0.0241	0.0127	0.0192	0.026	0.0197	0.0161	0.0103	0.0279	0.0136	0.0124	0.0	0.0017	0.0102	0.0217	0.0181	0.0054
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas	0.0005	0.0	0.0002	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009	0.0009	0.0	0.0001	0.0	0.0004	0.0	0.0	0.0	0.0	0.0	0.0006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004	0.0	0.0	0.0	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0358	0.0022	0.0	0.0	0.0	0.0	0.0	0.0001	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Tannerella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.0013	0.0	0.0825	0.0001	0.0096	0.1755	0.0	0.0063	0.0281	0.0003	0.0011	0.002	0.0003	0.0003	0.0014	0.0001	0.001	0.0077	0.0989	0.0	0.0018	0.1359	0.0	0.0009	0.0001	0.0062	0.0	0.0013	0.0032	0.0002	0.0008	0.0006	0.0	0.0	0.0	0.0104	0.0063	0.0055	0.0	0.2036	0.0063	0.0019	0.1757	0.0379	0.0909	0.0136	0.015	0.0038	0.0657	0.0	0.0053	0.0014	0.0012	0.0	0.4638
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__RF16;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__	0.013	0.0059	0.0059	0.0009	0.0	0.0108	0.0042	0.0148	0.0345	0.0506	0.0022	0.0019	0.0216	0.0069	0.0199	0.0134	0.0116	0.0045	0.0056	0.0008	0.0004	0.0143	0.0136	0.0034	0.0151	0.0422	0.0005	0.0133	0.0181	0.0056	0.0003	0.0085	0.0067	0.0075	0.0054	0.0122	0.0039	0.002	0.013	0.005	0.0003	0.0191	0.0349	0.0773	0.0032	0.0147	0.0122	0.0158	0.0069	0.0022	0.0006	0.0022	0.0615	0.0029	0.0036
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	0.0011	0.0016	0.0	0.0	0.0004	0.0001	0.0028	0.0001	0.0004	0.001	0.0003	0.0	0.0005	0.0003	0.0002	0.0014	0.0	0.0	0.0002	0.0	0.0	0.0	0.0002	0.0003	0.0001	0.0012	0.0	0.0002	0.0	0.0001	0.0	0.0008	0.0	0.002	0.0001	0.0	0.0009	0.0	0.0	0.0019	0.0	0.0001	0.0001	0.0008	0.0001	0.0	0.0	0.0	0.0005	0.0	0.0	0.0	0.0004	0.0009	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Blvii28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella	0.0	0.0	0.0	0.0	0.0	0.0	0.0006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__	0.0011	0.0	0.0047	0.0	0.0	0.0012	0.0	0.0012	0.0031	0.0023	0.0	0.0058	0.0042	0.0	0.0	0.0	0.0001	0.0	0.0012	0.0	0.0	0.0422	0.002	0.0013	0.0	0.0165	0.0	0.0	0.0	0.0	0.0001	0.0	0.0	0.001	0.0	0.0024	0.0001	0.0	0.0	0.0019	0.0	0.0009	0.011	0.0067	0.002	0.0174	0.0004	0.0002	0.0128	0.0	0.0	0.0009	0.0002	0.0	0.0011
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae];g__	0.0001	0.0023	0.0	0.0089	0.0	0.0016	0.0001	0.0003	0.0005	0.001	0.0011	0.0011	0.0021	0.0171	0.0008	0.0	0.0001	0.0004	0.0004	0.001	0.0001	0.0005	0.0029	0.001	0.0	0.0007	0.0	0.0001	0.005	0.0006	0.0	0.0015	0.0052	0.0	0.004	0.002	0.0005	0.0037	0.0026	0.0044	0.0107	0.0038	0.002	0.0009	0.0	0.0007	0.0	0.0	0.0009	0.0007	0.0011	0.0009	0.0	0.0001	0.0002
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae];g__Barnesiella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Butyricimonas	0.0031	0.0055	0.001	0.0006	0.0004	0.0003	0.0014	0.0003	0.0005	0.0044	0.0	0.0	0.0024	0.0034	0.0004	0.0038	0.0001	0.0004	0.0004	0.0	0.0	0.0025	0.0	0.0003	0.0006	0.0076	0.0	0.0019	0.0016	0.0	0.0	0.0016	0.0004	0.0	0.0009	0.0018	0.0012	0.0001	0.0001	0.0038	0.0004	0.0028	0.0017	0.0017	0.0002	0.0024	0.0016	0.0019	0.0003	0.0	0.0001	0.0003	0.0031	0.0	0.0019
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter	0.0009	0.0033	0.0003	0.0007	0.0008	0.0114	0.0023	0.0002	0.0009	0.0084	0.0007	0.0003	0.0096	0.0011	0.0003	0.0013	0.0185	0.0013	0.0002	0.0001	0.0	0.0015	0.013	0.0003	0.004	0.0086	0.0	0.0005	0.0033	0.0	0.0	0.0024	0.0003	0.0	0.0009	0.004	0.0011	0.0	0.0044	0.0021	0.0004	0.0011	0.0028	0.0042	0.0059	0.0025	0.0015	0.0027	0.0011	0.0005	0.0002	0.006	0.0043	0.0032	0.0022
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0007	0.0001	0.0011	0.0	0.0001	0.0	0.0	0.0	0.0	0.0001	0.0	0.0	0.0446	0.0021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0087	0.0	0.0	0.0	0.0	0.0	0.0	0.0024	0.0002	0.0	0.0033	0.0001	0.0	0.0001	0.0	0.0	0.0072	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__CF231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__Paraprevotella	0.0002	0.0001	0.0002	0.003	0.0003	0.0004	0.0	0.0007	0.0001	0.0001	0.0001	0.0006	0.0	0.0001	0.0003	0.0	0.0	0.0	0.0003	0.0	0.0001	0.0055	0.0	0.0	0.0	0.0005	0.0021	0.0153	0.0	0.0001	0.0	0.0	0.0	0.0	0.0	0.0069	0.0006	0.0	0.0	0.0004	0.0041	0.0002	0.0002	0.0041	0.0	0.0005	0.0001	0.0038	0.0054	0.0	0.0	0.0	0.008	0.0	0.0022
